,Filename,A,B_1,B_2,C,N,X,W_50,W_20,F_peak,F_int,Class
0,J075756.71+395936.1_spec.txt,0.00655138,0.340817,0.119726,0.0,0.0,1313460000.0,662044.0,1062960.0,0.00337406,2445.33,0
1,J080601.51+190614.7_spec.txt,161155000.0,0.194234,0.017475,0.0,0.0,1349340000.0,946240.0,1572540.0,0.00474155,5141.53,0
2,J080938.88+345537.2_spec.txt,0.00122095,0.666952,1.33483,0.0,0.0,1313100000.0,336005.0,440946.0,0.00121274,408.921,0
3,J082133.60+470237.3_spec.txt,0.0121685,4.93272,4.61808,0.0,0.0,1260090000.0,156281.0,178881.0,0.0121685,1901.09,0
4,J083548.14+151717.0_spec.txt,0.00396251,0.543345,1.99127,3.57406e-09,18.388,1216790000.0,79326.7,299063.0,0.00923541,1753.19,0
5,J083637.84+440109.6_spec.txt,0.00522086,0.416695,0.323036,0.0319594,4.82868,1345650000.0,279254.0,808539.0,0.00212495,857.783,0
6,J084307.11+453742.8_spec.txt,0.106971,0.302741,0.418074,0.048661,4.09061,1191480000.0,252960.0,420538.0,0.108485,33241.1,0
7,J090325.54+162256.0_spec.txt,0.000875998,0.695879,0.444019,2.43244,1.77623,1201300000.0,460227.0,639292.0,0.00509269,1671.37,0
8,J090734.91+325722.9_spec.txt,0.0172922,0.535196,0.473442,0.0321458,0.68959,1353900000.0,370717.0,542176.0,0.0168129,6469.33,0
9,J090937.44+192808.2_spec.txt,0.00528201,0.245179,0.876653,0.181176,2.48373,1382070000.0,472439.0,844699.0,0.00800239,4371.05,0
10,J093551.59+612111.3_spec.txt,0.0117245,0.0455085,0.100731,0.0,0.0,1366920000.0,2371130.0,3650180.0,0.00869914,21958.2,0
11,J102053.67+483124.3_spec.txt,0.00158208,0.893463,0.840654,0.0525699,1.46184,1189240000.0,564914.0,700614.0,0.00274032,1403.38,0
12,J102400.53+511248.1_spec.txt,2486.47,0.0258346,0.765912,0.0,0.0,1171340000.0,468980.0,910063.0,0.00394971,2350.15,0
13,J102544.22+102230.4_spec.txt,0.0148286,0.850547,2.81121,0.0,0.0,1358420000.0,291295.0,363784.0,0.0148214,4320.75,0
14,J103932.12+461205.3_spec.txt,0.00730954,0.541871,0.576498,0.0,0.0,1197440000.0,290050.0,435750.0,0.00570125,1740.81,0
15,J105327.25+205835.9_spec.txt,0.00131205,0.802416,0.533558,0.0,0.0,1349570000.0,672783.0,818245.0,0.00131193,882.704,0
16,J110017.98+100256.8_spec.txt,416644.0,0.27241,0.13394,0.0308869,3.43083,1371060000.0,414323.0,804141.0,0.0566738,29986.2,0
17,J111113.19+284147.0_spec.txt,0.00497188,0.107398,0.755273,0.0,0.0,1380470000.0,669731.0,1090460.0,0.003585,2610.94,0
18,J111916.54+623925.7_spec.txt,139968000.0,0.417103,0.0590312,0.0,0.0,1279820000.0,385832.0,613380.0,0.010529,4498.23,0
19,J112030.04+273610.7_spec.txt,0.0776145,0.459541,0.561299,0.0,0.0,1277130000.0,243490.0,374836.0,0.0297518,7778.74,0
20,J112332.04+235047.8_spec.txt,0.00154039,0.875818,0.680919,6.21418e-05,10.9962,1184360000.0,131219.0,715758.0,0.00378397,1004.19,0
21,J120231.12+163741.8_spec.txt,0.032969,0.353644,0.0601623,0.0,0.0,1269270000.0,667063.0,1149300.0,0.00295939,2283.67,0
22,J120551.46+203119.0_spec.txt,0.000886188,8.14959,0.921173,0.0,0.0,1343050000.0,168859.0,228825.0,0.000878263,149.882,0
23,J120855.60+464113.8_spec.txt,0.00279485,0.503428,1.06471,0.0,0.0,1388950000.0,228097.0,348313.0,0.0021736,524.768,0
24,J122513.09+321401.6_spec.txt,0.00216321,0.621117,1.35816,0.0704826,3.92252,1340200000.0,222169.0,531686.0,0.00776946,2260.09,0
25,J123200.55+331747.6_spec.txt,0.000865954,0.878782,0.473975,0.733693,1.74958,1281850000.0,583453.0,724805.0,0.00323876,1320.34,0
26,J123905.13+174457.5_spec.txt,0.00209673,1.13666,0.71256,0.0435447,1.1396,1332970000.0,328821.0,439389.0,0.00241993,796.833,0
27,J124707.32+490017.9_spec.txt,0.029454,0.244481,0.0870103,0.215848,1.80459,1313750000.0,1141890.0,1590330.0,0.00157034,1574.25,0
28,J125433.26+185602.2_spec.txt,0.00102493,1.60528,0.0162961,20.6264,2.10271,1331210000.0,5235010.0,7768200.0,9.77813,53374600.0,0
29,J130125.26+291849.5_spec.txt,0.000244013,0.616037,1.38579,1.24474,0.823325,1387540000.0,1162180.0,1290870.0,0.00194312,1457.36,0
30,J130132.61+463402.7_spec.txt,0.00115723,0.725933,4.15768,0.000435707,8.69796,1392290000.0,240706.0,329940.0,0.00150276,346.45,0
31,J130556.95+395621.5_spec.txt,0.0584591,6.72666,0.610063,6.16298,4.98303,1237000000.0,122514.0,233409.0,0.00482093,687.554,0
32,J131535.10+620728.4_spec.txt,0.00377972,0.68277,0.125035,0.0498308,3.41461,1377310000.0,1257350.0,1520330.0,0.00265139,2387.19,0
33,J131739.20+411545.6_spec.txt,292749000.0,0.0196072,0.399961,0.0,0.0,1380300000.0,593193.0,1067120.0,0.0055241,3968.0,0
34,J132035.40+340821.7_spec.txt,0.016202,0.182825,0.120196,0.0,0.0,1228330000.0,1235800.0,1824920.0,0.013966,17982.8,0
35,J132513.37+395553.2_spec.txt,0.00140309,0.796997,0.0226283,0.0,0.0,1227350000.0,2486900.0,4258290.0,0.00100355,2765.43,0
36,J133455.94+134431.7_spec.txt,0.0035473,1.45735,0.880106,0.245278,1.1226,1388780000.0,319405.0,416434.0,0.00541721,1651.11,0
37,J133817.24+481629.7_spec.txt,0.00107056,0.466281,2.89725,0.00525232,4.17781,1381670000.0,851615.0,944190.0,0.00240741,1387.91,0
38,J134035.20+444817.3_spec.txt,1.16927e-05,1.37161,4.4005,355.612,0.873058,1385120000.0,160915.0,241935.0,0.0108417,1870.51,0
39,J134111.14+302241.3_spec.txt,0.00743666,0.21609,0.0731559,0.0,0.0,1365080000.0,890744.0,1443360.0,0.0018687,1845.53,0
40,J134442.16+555313.5_spec.txt,0.00911892,0.238478,0.305792,0.00534699,1.58124,1367560000.0,2554780.0,2907000.0,0.0123666,27707.8,0
41,J134649.45+142401.7_spec.txt,0.00277532,0.943837,7.40113,0.0,0.0,1391390000.0,208821.0,265308.0,0.0027707,577.004,0
42,J135217.88+312646.4_spec.txt,0.1021,0.31717,0.463901,9.44383e-06,6.6378,1359580000.0,451346.0,1007670.0,0.207654,124468.0,0
43,J135646.10+102609.0_spec.txt,0.003749,2.70399,1.25292,0.0,0.0,1263900000.0,1048730.0,1104170.0,0.003749,3931.76,0
44,J135806.05+214021.1_spec.txt,0.00144045,0.755193,0.616093,0.514968,2.74704,1331840000.0,197752.0,315169.0,0.0107216,2770.35,0
45,J142210.81+210554.1_spec.txt,30840600.0,0.0465906,0.357847,0.0,0.0,1389510000.0,460387.0,737275.0,0.00284441,1458.55,0
46,J143521.67+505122.9_spec.txt,0.0418743,0.586096,0.106002,0.0332335,3.23978,1312240000.0,966086.0,1286860.0,0.00107201,957.979,0
47,J144921.58+631614.0_spec.txt,0.0200606,0.0584705,0.181255,0.119769,1.66559,1335910000.0,728586.0,2069160.0,0.00921786,9831.28,0
48,J150034.56+364845.1_spec.txt,315662000.0,0.392619,0.0491887,0.0,0.0,1349600000.0,421955.0,676857.0,0.0109077,5133.28,0
49,J150721.87+101844.8_spec.txt,0.00280981,0.239573,0.937489,0.0178048,3.4296,1317720000.0,297735.0,1062250.0,0.00459271,2496.27,0
50,J151319.23+343133.7_spec.txt,0.0131646,0.400097,0.383438,0.0,0.0,1259960000.0,497230.0,720409.0,0.0118566,6092.15,0
51,J152446.01+230723.5_spec.txt,0.00127097,1.06071,0.42516,3.3295e-06,7.84795,1167950000.0,294350.0,1196670.0,0.00257117,1532.47,0
52,J152922.49+362142.2_spec.txt,0.681526,0.169329,0.0778106,0.0,0.0,1162900000.0,803962.0,1242490.0,0.00242093,2098.94,0
53,J153437.61+251311.4_spec.txt,0.162884,0.355421,0.716216,0.0,0.0,1374140000.0,198320.0,308756.0,0.00721207,1547.26,0
54,J153452.95+290919.8_spec.txt,0.000309753,0.280784,1.37685,0.0852763,1.49268,1182170000.0,2191240.0,2409120.0,0.00168186,2115.33,0
55,J155902.70+230830.4_spec.txt,0.00166983,0.137457,2.64406,0.0,0.0,1190160000.0,1375130.0,1731770.0,0.00166868,2295.75,0
56,J160246.39+524358.3_spec.txt,0.00447419,0.0512926,0.274673,0.0,0.0,1170920000.0,2047780.0,3061450.0,0.00401983,8556.22,0
57,J160332.08+171155.3_spec.txt,0.0157598,0.704182,0.702991,0.349245,0.938319,1169920000.0,210449.0,318888.0,0.0197914,4429.26,0
58,J160338.06+155402.5_spec.txt,0.00730484,0.273139,0.234415,0.000369239,4.60389,1170050000.0,963186.0,1892890.0,0.012856,14022.9,0
59,J160952.60+133148.0_spec.txt,0.00127519,6.95856,0.552166,0.103924,1.75216,1371220000.0,1218310.0,1311350.0,0.00518258,3597.36,0
60,J161217.62+282546.4_spec.txt,0.0041539,0.468978,0.610404,0.0,0.0,1379200000.0,341053.0,502369.0,0.00358647,1273.39,0
61,J161740.53+350015.1_spec.txt,1.02736e-08,6.71189,1.37202,128859.0,0.633842,1380200000.0,512399.0,563402.0,0.00289881,916.171,0
62,J163804.02+264329.1_spec.txt,0.00203651,0.291007,0.397771,0.0326006,3.85967,1333210000.0,313392.0,1088660.0,0.00418987,2178.81,0
63,J163844.80+275439.1_spec.txt,0.0188178,0.499548,0.0825752,0.0,0.0,1289010000.0,573406.0,991819.0,0.00497011,3273.95,0
64,J163956.07+112757.4_spec.txt,0.0468116,0.930349,1.0564,0.0,0.0,1316310000.0,184138.0,271164.0,0.0405571,7768.97,0
65,J170815.25+211117.7_spec.txt,0.361255,0.263599,0.0722587,0.0,0.0,1160210000.0,639922.0,1028590.0,0.00535605,3808.32,0
0,0003+380_ak18.DAT,0.0379489,0.15657,0.302827,0.0,0.0,-46.47,0.0,0.0,0.0298969,0.0,0
1,0035+22_omd+17.DAT,0.00457092,3.53963,3.55249,0.381986,0.972353,425.947,168.537,183.43,0.0122894,1.45561,0
2,0941-08_omd+17.DAT,0.0463615,0.37695,18.4777,0.0,0.0,-500.743,273.118,319.879,0.0463615,12.6791,0
3,101301.DAT,0.00457969,26.9782,0.23904,0.0,0.0,-500.568,674.464,702.003,0.00457969,3.0896,0
4,1045+35A_adi.DAT,1.72355,0.00688587,0.190566,0.0,0.0,-27.13,0.0,0.0,0.0163468,0.0,0
5,1142+052_kpec09.DAT,0.00327768,0.0710247,0.120766,0.0230955,0.863879,606.224,0.15601,0.171472,0.00623575,0.000776434,0
6,1200+045_ak17.DAT,0.00664657,0.640142,0.0498175,0.192214,1.30435,-2092.83,18.3017,97.804,0.0158865,0.68217,0
7,1245-197_ak17.DAT,0.687056,0.138828,0.154096,0.00102309,4.22138,-6.1649,100.734,204.462,0.163077,21.3414,0
8,1504+377_cmr+98.DAT,7.77979e-05,0.317981,0.297586,3659.45,0.301218,333.822,83.1436,110.167,0.341233,26.0663,0
9,1543+480_ak18.DAT,0.325283,0.857056,0.162966,0.236247,2.80606,345.283,0.623139,1.06429,0.0352643,0.0246986,0
10,2121+24_mir89.DAT,7955110000.0,0.379073,0.0188814,0.0,0.0,30433.5,23.5391,42.1054,0.0412349,1.17115,0
11,J01465-0157_adi19.DAT,0.0413746,0.0509544,0.0261152,0.0,0.0,39.73,0.0,0.0,0.0210081,0.0,0
12,J153452.DAT,2.81124e-05,1.16993,0.385223,0.0,0.0,61.676,191.897,246.436,2.80373e-05,0.00538875,0
13,SPEC_J0919+0146.DAT,4.82049e-06,0.0345664,0.0212314,0.0156581,0.945547,624.889,0.271258,0.414256,2.38013e-06,6.76502e-07,0
14,SPEC_J1521+5508.DAT,7.78927e-06,0.692495,0.076481,0.00420281,3.16597,686.192,0.0191507,0.101334,4.49561e-06,1.93558e-07,0
0,0237-233_kpec09.DAT,0.0136655,4.53321,0.99708,1.99369,0.578913,531.517,0.0115637,0.018224,0.134961,0.00152154,1
1,1127-145_lsb+98.DAT,0.170441,0.0779699,0.0507614,0.00022731,2.29813,1082.02,0.122156,0.203264,0.351249,0.045894,1
2,1430-kpec09.DAT,0.00244102,0.037812,0.998731,0.0,0.0,610.553,0.0767504,0.0914569,0.002441,0.000187348,1
3,1629+12_kc02.DAT,2.16478,0.0494075,0.00711004,0.0,0.0,927.297,0.0565227,0.0983842,0.074259,0.00487693,1
4,1830-211_cdn99.DAT,0.0254022,0.513774,0.296885,1.99406,1.11912,-72.1082,217.69,324.537,0.493466,116.354,1
5,2003-025_kpec09.DAT,0.0130615,0.24535,0.185664,0.158152,0.587136,589.129,0.164039,0.203811,0.0200271,0.00303341,1
6,2351+456_dgh+04.DAT,0.179622,1.59914,1.24455,0.861923,0.713468,10.2379,60.6552,93.4005,0.541377,33.6865,1
7,J1431+3952_ekp+12.DAT,0.0226561,0.384742,0.267845,0.0,0.0,886.73,0.0925512,0.103485,0.0226561,0.00209685,1
8,SPEC_J0041S.DAT,2.43323e-05,0.431673,0.311605,0.0,0.0,1395.72,0.037416,0.0577962,1.23179e-05,4.94638e-07,1
9,SPEC_J0849_2.DAT,4.0932e-06,0.818051,0.693847,0.0335779,3.14805,1082.59,0.0250555,0.0958644,1.81797e-05,7.79776e-07,1
10,SPEC_J0921+6215.DAT,1.62804e-05,5.22283,4.73245,0.497066,0.986447,675.225,0.0178606,0.0321868,6.19978e-05,1.1756e-06,1
11,SPEC_J1241.DAT,1.60958e-06,1.00386,0.554781,0.261593,2.43346,1242.8,0.0406265,0.162935,9.75111e-06,7.02804e-07,1
12,SPEC_J1243.DAT,1.91959e-05,0.276403,4.6659,0.106433,4.39036,1396.43,0.0116989,0.117944,7.80989e-05,2.31374e-06,1
13,SPEC_J1255+1817.DAT,3.27975e-10,0.314654,6.89854,3719.97,1.34583,808.15,0.0687261,0.107994,6.40347e-05,4.74605e-06,1
14,SPEC_J1327+4326.DAT,2.45405e-05,3.78966,4.57314,0.0,0.0,726.024,0.00445222,0.0060837,2.39259e-05,1.07404e-07,1
15,SPEC_J1342+5110.DAT,9.98841e-06,0.111258,0.37712,0.0,0.0,570.862,0.103065,0.131541,9.96846e-06,1.02862e-06,1
16,SPEC_J1428.DAT,134.914,0.320812,0.735873,0.0619704,6.46835,1018.68,0.0352585,0.058416,3.04904e-05,9.97513e-07,1
17,SPEC_J1438d.DAT,1.32328e-05,0.237052,0.405206,0.0,0.0,1238.59,0.0760257,0.107403,1.25222e-05,9.72445e-07,1
18,SPEC_J1443.DAT,576526.0,0.083403,0.532159,0.0,0.0,1035.63,0.0306723,0.0484171,4.64962e-05,1.56846e-06,1
19,SPEC_J1551.DAT,1.36398e-05,10.1479,0.544596,0.0,0.0,1068.85,0.0101283,0.0182307,8.77585e-06,1.00724e-07,1
20,SPEC_J1639.DAT,0.000112431,0.126561,0.0791416,0.0444112,1.33862,1316.28,0.104726,0.143235,7.78587e-05,8.20346e-06,1
21,SPEC_J2219+0229.DAT,1.90615e-05,0.252078,0.351217,0.0257895,4.21014,717.123,0.0271075,0.0884507,4.44029e-05,1.93035e-06,1
